text,label,notes
"There is definitely a lot of misunderstanding here.

This provision can and does lead companies to owe significantly more in taxes than they make.

The only reason it hasn't been bigger news, is because most companies are pretending it doesn't exist and just sweeping it under the rug, hoping it will get fixed before enforcement gets serious.",hot_take,
"I run Technical Operations at Revinate.  We are based in San Francisco but my team is 100% remote.  I'm based in a small town in Kansas.

For 2017, I want to hire more engineers with Kubernetes, CoreOS, and Go experience.  My team has deep Linux systems administration experience but we've automated ourselves out of most of the day-to-day admin work of yesteryear.  Our future hires will be heavily focused on automation.  We've already automated builds, testing, deployment, monitoring, and metrics in a Kube/Docker pipeline.  I expect to automate load balancing and hardware deployment in 2017.  I also expect that we will adapt many of our non-Kubernetes data services for running containerized in Kube.",analysis,
I haven't been able to work for make money for 2 years now this situation would be deadly for me if my mom wasn't helping me out.,reaction,
"I had a friend with plenty of experience in HR get laid off.

He looked for a job for 13 months. One of the top 3 smartest people I’ve ever known looked for seven months and had to take a big step back in his career, despite having Amazon and Home Depot on his resume.

Both of them said that even getting an interview was almost impossibly hard.

These are people in different parts of the county, and in different industries.

I think we have a serious problem on our hands with employment that’s probably not getting better any time soon.",analysis,
"IMHO when companies announce that there is a worker shortage, what they are actually stating is that the negotiating power in the current job market may be shifting away from corporations

These corporations may have started having some issues retaining key employees and discovered that expertise and takent doesn't spring from nowhere, which affects productivity to their surprise as highly skilled employees aren't growing on trees and can't be replaced as soon as their employee leaves. So before they need to do something about working conditions (i.e. absurdly long hours and stressful environment) and wages they instead try to manipulate the job market by requesting a sudden influx of canonfodder to shift the negotiating power back into their hands.",hot_take,
"I got my current 4 day gig just by being upfront with everyone I interviewed with that that's what I was looking for, and waiting until someone said yes.",analysis,
"Consider becoming a tradesman or artisan of some kind. General construction labor doesn't pay all that well, and is pretty boring, but if you have the skills, specialty craftsmanship can be very lucrative and fun.

You can make physical things you can be proud of, and you don't have to use a computer. Also, at some level, it is ""design"" work, because even if you don't draw up the plans, you have to make decisions about how things fit best and what works where, &c.",hot_take,
"META rumoured to be purging by Tuesday.

Calls locked in.",hot_take,
"Yes, it's really that bad. Even trying to change teams internally at my company is the hardest it's ever been in over a decade of experience.",reaction,
"I've been in the ML/data space for 20 years and went through the 2008 cycle early in my career. I'm not hiring at the moment but am always happy to review resumes and give career advice as part of networking so feel free to ping me.

Reaching out to managers at big cos won't get you much. They are getting a ton of twitter/etc candidates and have stricter hiring policies and rubrics to prevent nepotism and favoritism. If you can network and ask for referrals through your friends / professors that can work better. Or reaching out to early stage startup cofounders can work really well.

ML/AI is less frozen then some other areas so that is good. Most really competitive new PHDs will have either a couple of internships, strong academic contributions or previous engineering experience demonstrating strong coding ability.

You should also consider post docs or academic engineer postings. The grant cycle insulates these a bit from the economic cycle and they can be a good place to gather some experience while you ride out the cycle.

And definitely consider very early stage start ups. A startup that just raised and has 2 years of runway is probably one of the safest places to be at the moment as they are still focused on growth. A lot of great companies proved themselves as startups during the 2008 cycle and grew rapidly after. Networking can mean a lot more here as early stage founders often literally just hire their friends or people they get along with without a ton of process.",analysis,
If nothing else would assume they have used GitHub or say 'drop it in teams'.  Even if they have only ever used the cloud there is send a link from my Google or One Drive.  My first answer would be FTP or rsync.  Maybe they are over thinking it and assume they need to get it on another machine without the owner knowing about it IDK.  Maybe it needs to be reworded.  Or follow up if there is no answer and say how did you turn in your homework to the professors or think about how you collaborate with other developers on a project.,hot_take,
Can someone suggested how I can find remote opportunity for a robotics+software engineer position with a salary of at least $150k while being based in Europe?,reaction,
"Do you have any say who will you get for an intern? Do you know which areas of your expertise are the ones that intern wants to learn?

Give assignment and provide feedback latter. Have a lot of patience. Things that are self-explanatory to you might be out-of-this-world for intern.

Be a good listener. From questions you can conclude both interests and weak spots.",hot_take,
Per (1) it might be enduring some pain to wring wfh out of the system and get the workers back into their pens.,hot_take,
"Keep in mind that H-1Bs are requested in March with starting date in October, so if you were qualified for an H-1B, the earliest date that you could enter the US on that visa would be October 2022.",analysis,
"Firstly - Make sure you thank them for their honesty.

Secondly - Make sure they see a copy of their review in which you praise their abilities within the team. That will help to reassure them that there are no penalties for not wanting to 'progress'. Slightly OT since it isn't IT related but I once asked a PC (police Constable, aka a British 'Bobby') why they had remained a PC for 25 years (I was curious). Their answer was - Mo' Money, Mo' Problems. In other words they preferred the day to day life and didn't want more Paperwork, more BS and ass-kissing (sadly a prerequisite for ladder climbing) and they really did not want the hassles of managing others. I did a mental re-take and thought fair enough. I am slightly ashamed that my initial ‘hunch’ was because they lacked the skills or abilities to gain a promotion (my bad and I was glad I asked rather than silently assuming/judging).

One thing to think about doing is exploring their responsibilities – Think about their specialities / preferences / interests. If they are a ‘people person’ consider making offering them the role of helping to onboard newcomers on the team. If they have an analytical mind, consider delegating some of the  cost centre analysis work to them. Ensure any unofficial roles are noted positively in their next review so that they can see in black and white their value to the team.",hot_take,
"When I was interviewing for various dev jobs fresh out of university a couple of years ago, we were discussing salaries at or just below 30k SEK / month. I finally ended up accepting a job with a similar salary, but elsewhere.

If I were you, I would not settle for anything less than 35k. Maybe you can push it to 40k.",analysis,
"There is this survey from 2017: https://news.ycombinator.com/item?id=15088840

Answers here: https://goo.gl/X45Dtt

Maybe worth a re-post on HN.",analysis,
"Just tell them you are at an advanced stage with another companies, your timeline is pretty aggressive and if there's a way to skip some steps it would help make it work for both of you.",hot_take,
"What I'll say after looking for a job for a month now: There aren't many companies who even take the first step of emailing/contacting back after an application. I feel like this, if it was well defined and consistent, then it would be valuable.",reaction,
I turned on “casually looking for work” or whatever it’s called on Linkedin just because I was curious. I got 4 recruiter messages in a week. Seems like things are fine.,analysis,
Most likely it will hurt your career. Typically you want a niche technology that is growing rapidly.,hot_take,
"One of the things that amazed me, the last time I interviewed is the number of companies and recruiters who just stop communicating. Is it too much to ask to send a ""no?"" Shoot, tell me to go jump in the lake, tell me something, don't give me the silent treatment. I can understand if it is a small start-up, but I can believe that recruiters (head hunters) do this as well. I wouldn't be bothered so much if the communication was just email. But once it gets to phone calls or even face to face meetings, then give the person the common courtesy of some closure.",reaction,
"I'm in sort of the same boat. Developing things and creating software is a means to an end for me. Do I enjoy working for myself? Sure. More so than working for the man. But in the end, it's also so that I can be free from the ties of money.

One thing that I (and some of my other fellow CS graduates) have contemplated is going into teaching. It can be rewarding to teach Math or CS at the local high school, assuming your kids aren't too rowdy.

If you have an interest in photography, that could be a good break. I know several wedding photographers who charge what I would consider a very generous amount - they do a good job, and get tons of business. Personally, I've been interested in photography for a long time, but I'm afraid that I'd start hating it or getting bored of it if it becomes my job. Unfortunately, they spend lots of time in front of the computer editing photos.

Have you thought about anything in the financial field? Data modeling, trends, stuff like that?",reaction,
"> Notably, “potential” is nowhere on the scale. Many posts talk about hiring entry level engineers on their “potential,” but the term is seldom defined. Most people use “potential” to describe a sense that, even though a candidate currently cannot be an autonomous engineer, someday in the future they could be. We did not attempt to predict the future for any of our candidates but rather evaluated them on what they presented through the interviews.

Well...

> Some of the qualities we looked for in our associates in particular were:

> Resilience: Learning on the job is hard and we assumed that the associates would make mistakes and struggle through difficult concepts. We needed people who could endure these struggles and bounce back ready for the next challenge.

> Willingness to learn and the initiative to do so: Clover would assist the Associates in their growth, and provide teachers and mentors to help along the way, but any incoming Associate would need to be responsible for their own growth.

> Humility: This is an important trait for all Clover engineers, but we paid special attention to it in our Associates. They would have to learn from those around them, be respectful of others, and be able to take difficult feedback with grace.

> ...

> Deciding the technical skills to evaluate was a long process. We expected to teach our Associates most of the technical skills they would need to do their job, but we couldn’t accept candidates that were completely blank slates.

It really sounds like this is measuring the candidate's ""potential"".

I would argue they defined ""potential"" as ""resilience, willingness to learn, and humility"", which they feel is an atypical definition.

(Personally, I think that's a decent set of criteria to look for in entry-level engineers.)",analysis,
"There is a spreadsheet for France (in French). It's quite Paris-centric, but it gives an idea.
https://docs.google.com/spreadsheets/d/1Zjvz-Ud2TR3rco2BTq0X...",analysis,
"I have been in software longer than you (I am 33) and my wife is a doctor. If you think being a programmer feels like ""blue collar work"", wait till you see what being a medical resident is like. Try getting paid $50k/yr, working 80-100 hours a week, and savoring the rare moment you get to take a coffee break or eat a lunch that doesn't come out of a vending machine.

Serious ""grass is greener"" thinking going on in your post.",analysis,
"You likely won't be able to get work with any firm that has customers in the financial, military, and medical spaces. This rules out a lot of sectors common to the UK and major cities. No hosting companies, Cloud vendors, service/consulting companies of reasonable size, etc.

However there are large industries in the UK that will offer a solid job, the ones that spring to mind are academia and the charity sector. These industries aren't the top paying, and that's exactly why these jobs aren't being fought over. Additionally as you'll not come into direct contact with vulnerable people or children, DBS checks are unlikely to apply and the sector based restrictions like those in the financial industry are not present.

The work in these industries also isn't the most challenging for coding, the challenge is typically it not being funded well enough and having to find cheap and pragmatic solutions you can maintain. In the charitable sector you really need to know Drupal and PHP... and then a mix of how to glue things together, run IT systems, etc. In academia it can be a real mix of work, from IT services, through to website and email services, all the way up to ""PhD student knows what they want to run on a supercomputer but doesn't know how to get it to run efficiently on this (slightly older) supercomputer"".",hot_take,
"IMO there are two simple reasons:

1) Companies really, really don't want to be doing layoffs. It signals they are in a weak position. But when bunch of other companies do this it becomes a much more available option as there is something to blame (""Recession!"")

2) Companies compete fiercely and up until recently they tried to hire as much people as they could. But now they are finding they onboarded a lot of people and possibly a lot of people they do not want to have and became less efficient in the process. Normally, it is pretty difficult to fire people and it takes a long time and resources to get them on PIP and then push them out. But, hey, there is a faster solution -- just blame recession!

I am looking closely at this recession as I am trying to navigate it financially and professionally and I came to conclusion that it is to a large extent fiction. It is mostly just a bunch of companies jumping on a bandwagon because it is convenient for them for one reason or another. There is no real underlying reason for all this. And if you are not convinced, other than couple tech companies that were just mismanaged and other than valuations, companies seem to  be in a better shape overall than ever.",analysis,
"There is NO way his ""contacts"" are worth 50% of a startup. As already pointed out there are plenty of investors about that you can meet w/o already signing away half your future revenue!

He needs to offer more than that to be worth that much :)",hot_take,
"You are worried about income inequality, which is hardly the same thing. Tech workers generally don't have discrete business or political goals that they use their money to influence to their advantage, even if they do have some low millions to low 10's of millions of nominal wealth.

What is more unsustainable, IMO, is the concentration of work. 3 out of 10 men and 4 out of 10 women over 20 year's age in the US are not working. Working far in excess of 40 hours per week is common. US vacation is still generally a paltry 2 weeks, non-mandatory.

And all this, despite continual improvements in productivity over the past century.

Couldn't we collectively reduce our working hours, have more vacation time, and employ more people? That would more fairly disperse the productivity gains of technology and improve many people's lives.

https://www.bls.gov/news.release/empsit.t01.htm",hot_take,
"No.

What is called ""AI"" today is just brute force machine learning. There is no intelligence, as ChatGPT has amply demonstrated, just blind regurgitation of a black-box statistical analysis of data.

True AI, i.e., the kind of AI in movies, is still several decades away. It's actually further away now than it was 10 years ago, as the brute-force method has pushed AI research into a local maxima that will be difficult to get away from without starting over.",hot_take,
"Yes. I'm the CEO of Google and I can't even get an internship at Google

But tbh yes, it seems job postings for software jobs are the lowest in 4 years, almost as low as the dip that occurred just after the pandemic. The COVID job boom was clearly temporary and is now being massively offset by AI

https://fred.stlouisfed.org/graph/fredgraph.png?width=880&he...

It's over. Best alpha for people who aren't being flooded rn is to just start their own company while applying in the background via AI so it doesn't waste their time. All their applications are being culled via AI anyway so it's fair.",analysis,
Blaming the well-paid employees for what the others are getting paid isn't the way to go.,hot_take,
"The percentage of people making that amount of money is still pretty low. I'm more worried about what happens when those people making 300-400k a year automate those jobs. As far as sustainability, cost of living will be consistent with the middle class.",analysis,
"Stop thinking they want to hire the best talent.

FAANG isn’t trying to hire the best talent. They’re looking for people who will be productive at FAANG.

Startups are compounding the error you’re making by thinking what works for FAANG will work for them.

Also if you are sure you’re top talent and their process is designed to find top talent, then surely the interview process will be easy for you. So just get the job if you want it?

Or make demands and see if you can get them to give in. Might work.",hot_take,
"What kind of reply would you want? Would a simple ""no thanks"" be enough?

I have been in the situation before where replying to everyone  with anything meaningful is simply not feasible. Maybe for a recruiter whose full-time job is that but not for a hiring manager who also has to balance their regular duties as well.

I have spent much more time on the applicant side of things than the hirer side so I understand the goal. It can be frustrating to not get anything. If it is a job you really want you may be inclined to hold everything else off until you hear something just on the hope that maybe they haven't gotten to your resume yet. So a little closure would be nice.

So maybe a better question for you is what are you trying to accomplish by getting hiring managers to reply to all candidates? Give them closure or provide feedback? If the former than maybe a simple ""no thanks"" will do.

By the way, I am speaking clearly to the scenario where a candidate sends in a resume and doesn't hear anything back. In my opinion, even if the hiring manager or recruiter does a phone call the candidate deserves a clear ""no"" email at a minimum.",analysis,
One promising anecdotal is that I've seen a big uptick in the last 8 weeks of people leaving my current place (not FAANG but you've heard of it) with work secured whereas that wasn't the case much for the last 2 years.,analysis,
"I look at it from the other perspective (interviewer). We always have an ""adjustment"" period for the candidate to settle in. We smile with them, ask them how they're doing, bring them water, ask them if they have to freshen up [restroom, go wash]. Let them cool down a bit if it was hot, or get warm if it was cold outside. We'll ask them if they'd like a drink [coffee, coco] and may prepare one for them. They notice the view (directly facing the mediterranean) and we invite them to the balcony: it's soothing.

We'll ask them about logistics, if they need to be somewhere else, if they mention they came by car we'll confirm they're not parked somewhere where it will be towed. We try and put all conditions so the candidate feels free of other things. In some occasions, they came when we were having a birthday party and they were welcomed.

We try and bring the conversation towards something the candidate is comfortable with, a project they've done or a topic they've worked on. Something that anchors them. We'll ask questions on how they solved things, etc. Then we ease into other problems.

Our sessions feel like we're colleagues trying to tackle a problem together. A few minutes in, they're not stressed and they can actually do some thinking on the issue at hand and do their best.

That's our way to deal with it so we don't rely on the candidate's maturity or confidence levels for the interview to go well. We do that upstream.",analysis,
"Start cultivating your own public image in the internet circuit of your field / industry and aim at becoming an internationally recognised expert in say 5-10 years. That way, your 50+ career might be made of a number of consulting opportunities and advisory roles. I'm in my early 40s and in the process of converting my three static websites for three different industries into blogs, one at time within this year.",hot_take,
"It depends on how much effort we want to put into training entry level programmers.  Different companies have different requirements.  If we intend to train the programmer from the ground up, then we can probably look for programmers who are smart, resourceful and self-sufficient.  We can train the rest, like good coding, etc.

If our expectations are higher, then what I look for is code sensibility.  Do they cut and paste the code without thinking ""hey, this is kind of dumb to do""?  Do they see repeated code and think ""this can be collapsed into something more succinct""?  This is the hardest thing to train for, and the most time consuming from a mentor point of view, so if we have a high bar for entry level programmers, then code sensibility is one of the factors on top of the 3 above that I look for.

I've rejected interns that worked for me from a permanent position because after 4 months, they still had terrible code sensibility.  I had to pour through their code with a fine tooth comb because it was riddled with tiny bugs, and it needed constant rewrites because they just didn't improve over the course of the internship.  I've had other interns that just ""got it"" and wrote great code from the start, or only needed a few reviews and then ""got it"".  Those are the ones that will be productive quickly and won't hamper the rest of the team with lengthy reviews.",hot_take,
"From what I understand, this does not actually affect Google.  They were already amortizing their R and D expenses.

Over long time scales (and big company revenue streams), this is sort of a wash.  I think this hurts startups a bit more due to the long timescales involved which eats up much needed cash in the short term.",analysis,
"If you're a new grad then presumably you're optimising for experience, not salary. I think it will be harder to find a good job for while, but it shouldn't be impossible to find any old job which will provide some relevant industry experience.

Late 2020 to earlier 2021 was nuts for tech jobs. Companies were hiring people who were massively unqualified just because they needed someone. During that time I was getting calls from recruiters weekly practically begging me to quit my job for some new opportunity they were recruiting for and unable to fill. Imo there are a lot of devs out there right now who only got hired because the market during 2020-2021. I worry a little for those guys because they were punching way above their weight to begin with and I think they'll probably struggle to find something as good should they get laid off.

The other people who might struggle are those looking for jobs specifically in the tech industry or tech startups. As someone looking for work right now I have noticed there are fewer jobs from tech companies out there, but there's still plenty of tech jobs in industries like travel, finance, and retail. Everyone needs tech workers these days so a tech industry slow down isn't necessarily the end of the world for someone with tech skills.",analysis,
"A no-reply@ email address? This seriously happened? You dodged a bullet.

If you reject candidates from a no-reply@ email address, there is nothing I or anybody else can ever do to help you in any way ever again. You are beyond help. You've found perhaps the one thing you could do worse than simply going dark on candidates you reject.",reaction,
"I turned 50 last year. I am still working as a developer, and I am still loving it. As long as you stay reasonably up to date with the shifting technology I think there will always be opportunities. For example, I started coding in a proprietary language (PLEX from Ericsson), switched to C++, then Java, now Python with a bit of ClojureScript. I get contacted by recruiters at least once a month (mostly on LinkedIn) about other job opportunities, so there is definitely strong demand.

A lot of people make the mistake of staying too long in the same place, and gradually getting less and less ""hireable"". It is easy to just stay doing the same thing, but you are hurting your future chances of finding a job if you have to.

Also, becoming a manager seems worse to me from an employability perspective. There is always a greater need for developers than for managers.

I also wrote about why developer is a good career here (applies to older people as well): https://henrikwarne.com/2014/12/08/5-reasons-why-software-de...",analysis,
I would say that if they have to mislead you from the start that there will be little you can expect from this relationship moving forward.  You will not trust anything that your boss or this company promises moving forward so I would suggest you start looking elsewhere.,hot_take,
"Er... Not sure if you guys know, there is also H1B1, it's a variation of H1B. More for both Chile and Singapore citizen to work in USA for short term. I am not sure about the fees though.",analysis,
I saw an event in Argentina called fuck up nights. I think its something global,hot_take,
"Good Rails devs are hard to find and in large demand.  As a beginning Rails developer, though, you'll need to convince your new employer that you are a net gain.  A junior dev can need so much hand-holding that they can steal away precious time from a senior dev.

Put some good Ruby code on github.  If you can, you'll improve your chances of getting hired quite a bit.  If you can't then you're not ready to be hired yet.",analysis,
"Wow, you seem almost a clone of me. Major reason why I can't change is, that I didn't study well enough in high school to make it in med school, which bothers me, and I'm a little older. You're 22, I'd say go for it. What can you lose? You've already opened a road, and it will stay open even if you choose to change your mind back",reaction,
"I cannot count how many interviews I've done where I've shown up with 10+ years of industry experience and been given an interview catered toward juniors. If anything there is too much emphasis on interviewing entry level software engineers. There are others out there with a proven track record.

I'm just underselling myself, shooting too low. At this point do I need to be applying for management?",analysis,
"In my experience you never get what you deserve, you get what you negotiate.

Pick a number to which you will be 100% happy to do the work for and use it as your ""must have"" number, from there consider perks, bonuses, stock etc as nice extras but not part of the must have.

Start as high as you can because that sets your baseline. From there consider that it is a lot easier to get more $ by changing jobs than by merit raises..

My personal pet-peeve, for some reason companies have a problem increasing the pay of top engineers at a rate equivalent to their productivity. (Something that sales people always get)

And finally... always, always always remember: if it is not on paper, it does not count!",hot_take,
"You are correct, we are in the middle of a ""Great Dev Drought,"" keyword being ""Great"" or rather talented. I don't have any hard data for you per se, but I can tell you that of the ~100 candidates we've interviewed for a junior Rails position, we've accepted approximately 2%.

Our entire pool is filled with software engineers and web developers that look very qualified on paper. However, it's hard to find someone with a good mix of (1) theoretical computer science knowledge, (2) practical programming experience, (3) problem solving skills, and (4) the drive to be truly great.

I have one piece of advice: If you are simply looking to ""pivot"" into programming for a job and because it's the hot thing to do, then don't! But if anything programming and computers is truly your passion; if it excites you so much that you have trouble sleeping; if you couldn't imagine your life doing anything else, then go for it by all mens. The odds are stacked against you, but you can beat them if you work hard. Good luck!",analysis,
"Your question is how can you continue to be compensated highly in this fast changing industry that already compensates very well. It's a tough question and I don't think anyone has a magic bullet for you.

Here's some general tips from the business side:

- When you are struggling to compete, differentiate yourself and find a smaller, more specialized audience. Don't attempt to compete head on unless you believe you have an upper hand.

- There are skillset that are always subject to the whims of the day but there are also skillsets that do not: among them are (1) the ability to sell yourself and (2) the ability to manage and motivate others. These two skills have stood the test of time and if you commit yourself to at least getting better at them, so will you.

I'm a developer in my 30s who retrained after being a lawyer. I flat out tell people I'm not that great a developer. I have never gotten a job from having to prove my technical skill and have not yet needed to. I rely on my network, find a specialized niche market (startups that have just figured out how to make money but don't yet have a product orientated tech leader), and I impress upon them non-coding abilities (I ask them a load of questions about their business and operations and talk about strategy, product, organization challenges - things they don't get from a typical developer candidate). You should not adopt the same strategy but maybe think about what non-technical skills makes you differentiated and where those skills might be needed most.",hot_take,
"I may be an oddball, but I expect engineers at at startup to help with support, and would absolutely hire someone who had worked in a support role over someone who hadn't if they're otherwise equally qualified.

The experience is super valuable - especially if you leave with a spidey-sense for what product features and UI gimmicks will cause users the most trouble. It's way better (and cheaper!) to fix issues like that during development than after a product has been released.

So much stuff released now is frankly user-hostile. Hidden, undiscoverable but essential actions and controls, and needless complicated interactions. Ugh.",analysis,
"> For cash-strapped companies, especially those not yet profitable, the result was a painful tax bill just as venture funding dried up and interest rates soared

Can someone explain this? What taxes do unprofitable US businesses owe that this would be deducted against?",analysis,
"Your description of your career sounds very different from my career in software development - I don't touch the web, things are methodical, I spend most of my time communicating instead of coding, etc. Why don't you explore other specialties of your current career first?",analysis,
"Don't think that you're worth $40/hr, know that you're worth $40/hr. It sounds like you're unsure, and any good business negotiator is going to pick up on that and use it to their advantage.

The way you know is to get paid that much already, or to have multiple firm offers for that much from other potential employers. If neither of those are true, then you don't know what your value is, and you're negotiating from a point of weakness. If you can't reach that level of confidence, then the next best thing is to find out exactly what the job entails, and learn what the local market pays for that skillset. If you bring extra skills, point them out and use them to bring your price up. If you bring only a subset of those skills, use that to set expectations for future rate increases when you can prove you've added value.

It sounds like you're guessing as to your worth, and negotiating based on the pay you want. Do the research, get competing offers, and know what you're worth. Be prepared to explain to a potential employer how you arrived at the number. It's the only way to get paid fairly.",hot_take,
